default|BSC|BSC
default|Result_Time|Result_Time
default|Obj_Name|Obj_Name
default|LAC|LAC
default|CI|CI
default|TARGET_CI|TARGET_CI
1275071420|1278072501|CELL_SIG_CALL_DROPS
1275071420|1278072502|CELL_TRAF_CH_CALL_DROPS_IN_STABLE_STATE
1275071420|1278072503|CELL_TRAF_CH_CALL_DROPS_HO_FAIL
1275071420|1278072504|CELL_SIG_STATIC_STATE_CALL_DROPS_ERR_IND
1275071420|1278072505|CELL_SIG_STATIC_STATE_CALL_DROPS_CONN_FAIL
1275071420|1278072506|CELL_SIG_STATIC_STATE_CALL_DROPS_REL_IND
1275071420|1278072507|CELL_SIG_UM_CALL_DROPS
1275071420|1278072508|CELL_SIG_CALL_DROPS_NO_MR
1275071420|1278072509|CELL_SIG_CALL_DROPS_ABIS_LNK_FAIL
1275071420|1278072510|CELL_SIG_CALL_DROPS_EQUIP_FAIL
1275071420|1278072511|CELL_SIG_CALL_DROPS_FORCE_HO
1275071420|1278072512|CELL_TRAF_CH_UM_CALL_DROPS
1275071420|1278072513|CELL_TRAF_CH_STATIC_STATE_CALL_DROPS_CONN_FAIL
1275071420|1278072514|CELL_TRAF_CH_STATIC_STATE_CALL_DROPS_ERR_IND
1275071420|1278072515|CELL_TRAF_CH_STATIC_STATE_CALL_DROPS_REL_IND
1275071420|1278072516|CELL_TRAF_CH_CALL_DROPS_NO_MR
1275071420|1278072517|CELL_TRAF_CH_CALL_DROPS_ABIS_LNK_FAIL
1275071420|1278072518|CELL_TRAF_CH_CALL_DROPS_EQUIP_FAIL
1275071420|1278072519|CELL_TRAF_CH_CALL_DROPS_FORCE_HO
1275071420|1278072520|CELL_SD_CALL_DROPS
1275071420|1278072521|CELL_SD_UM_CALL_DROPS
1275071420|1278072523|CELL_CALL_DROPS_AFTER_CONN
1275071420|1278072524|CELL_CONN
1275071420|1278072525|CELL_A_CLR_REQ_TCH_SIG
1275071420|1278072526|CELL_A_CLR_REQ_TCH_TRAF_STATIC
1275071420|1278072527|CELL_A_CLR_REQ_TCH_TRAF_HO
1275071420|1278072528|CELL_A_CLR_REQ_TCH_TRAF
1275071420|1278072529|CELL_A_CLR_REQ_TALIMIT
1275071420|1278072530|CELL_CALL_DROPS_BTS_ABIS_CIRCUIT_FAULT
1275071420|1278072531|CELL_CALL_DROPS_ERR_IND_T200_EXP_SIG_ULCELL
